iter	Passed	Remaining
402	11263	16686
403	11293	16660
404	11323	16635
405	11352	16609
406	11381	16582
407	11410	16556
408	11439	16529
409	11468	16503
410	11496	16475
411	11524	16448
412	11554	16423
413	11584	16397
414	11615	16373
415	11644	16346
416	11674	16321
417	11704	16296
418	11734	16271
419	11764	16246
420	11797	16224
421	11826	16198
422	11856	16173
423	11886	16148
424	11916	16121
425	11946	16096
426	11975	16069
427	12004	16043
428	12033	16017
429	12063	15991
430	12092	15964
431	12122	15938
432	12151	15911
433	12181	15886
434	12211	15861
435	12240	15834
436	12270	15808
437	12301	15784
438	12331	15758
439	12361	15732
440	12391	15707
441	12421	15681
442	12452	15657
443	12481	15630
444	12512	15605
445	12540	15577
446	12570	15551
447	12600	15525
448	12630	15499
449	12662	15476
450	12692	15451
451	12722	15424
452	12752	15398
453	12781	15371
454	12811	15345
455	12840	15318
456	12869	15291
457	12900	15266
458	12930	15240
459	12960	15214
460	12991	15189
461	13031	15174
462	13060	15148
463	13090	15122
464	13120	15096
465	13151	15071
466	13180	15043
467	13210	15017
468	13239	14990
469	13270	14964
470	13301	14939
471	13330	14912
472	13359	14885
473	13389	14858
474	13419	14832
475	13448	14805
476	13477	14777
477	13507	14751
478	13538	14725
479	13568	14699
480	13598	14672
481	13627	14645
482	13657	14619
483	13688	14593
484	13718	14566
485	13747	14539
486	13777	14513
487	13807	14487
488	13839	14462
489	13869	14435
490	13898	14408
491	13930	14383
492	13957	14353
493	13987	14327
494	14017	14300
495	14047	14274
496	14078	14248
497	14108	14222
498	14137	14194
499	14167	14167
500	14196	14139
501	14226	14113
502	14257	14087
503	14288	14061
504	14318	14034
505	14349	14008
506	14377	13980
507	14408	13954
508	14438	13927
509	14468	13901
510	14500	13876
511	14531	13850
512	14561	13823
513	14591	13796
514	14622	13770
515	14655	13746
516	14684	13718
517	14714	13691
518	14743	13663
519	14774	13637
520	14804	13610
521	14834	13583
522	14864	13556
523	14894	13530
524	14925	13503
525	14955	13477
526	14983	13448
527	15013	13421
528	15045	13395
529	15076	13369
530	15107	13343
531	15135	13315
532	15164	13286
533	15193	13258
534	15224	13232
535	15254	13205
536	15282	13176
537	15313	13149
538	15343	13123
539	15373	13095
540	15402	13067
541	15430	13039
542	15459	13010
543	15496	12989
544	15529	12964
545	15559	12937
546	15587	12909
547	15619	12883
548	15648	12854
549	15678	12827
550	15706	12799
551	15736	12771
552	15765	12743
553	15794	12715
554	15822	12686
555	15852	12658
556	15880	12630
557	15910	12603
558	15939	12575
559	15968	12546
560	15999	12519
561	16027	12491
562	16058	12464
563	16088	12437
564	16117	12408
565	16147	12381
566	16175	12352
567	16206	12325
568	16236	12298
569	16266	12271
570	16295	12243
571	16325	12215
572	16356	12188
573	16386	12161
574	16416	12134
575	16446	12106
576	16475	12078
577	16505	12050
578	16534	12022
579	16565	11995
580	16599	11970
581	16627	11942
582	16657	11914
583	16685	11885
584	16715	11858
585	16746	11830
586	16774	11802
587	16805	11774
588	16833	11746
589	16862	11717
590	16893	11690
591	16923	11663
592	16953	11635
593	16983	11608
